0;Да. Это уж-ужасно.  ;
;В чем причина, как ты полагаешь?;1
1;Трудно с-сказать. Это была агрессия против вас или нечто более серьезное…;
;Агрессия против меня?;1
;Нечто более серьезное?;2
;А сам-то ты как считаешь?;3
;Хм. Понятно. Ладно, Гордон, конец связи.;-1
1;Д-да. Может быть, это просто… ну… вы им не понравились как существо. Кто их з-знает, этих инопланетян. *Гордон поправляет очки*;
;Нечто более серьезное?;2
;А сам-то ты как считаешь?;3
;Хм. Понятно. Ладно, Гордон, конец связи.;-1
2;Самый плохой вариант. Посредством покушения они показывают, чч-что хотят войны.;
;Агрессия против меня?;1
;А сам-то ты как считаешь?;3
;Хм. Понятно. Ладно, Гордон, конец связи.;-1
3;Я не з-знаю… Нужно узнать это у того, кто знаком с этими зорсанами, капитан. Может, поговорить с другими инопланетянами?;
;Агрессия против меня?;1
;Нечто более серьезное?;2
;А сам-то ты как считаешь?;3
;Хм. Понятно. Ладно, Гордон, конец связи.;-1
