0;*Сегодня было что-то необычное. Доложили, что камень хочет поговорить. Раньше первым он на контакт не шел. Что-то случилось? По нему так и не скажешь. Камень все так же лежит в трюме, подсоединенный к терминалу, и… читает? Похоже, что он проглядывает какие-то библиотечные архивы.* «Капитан. Приветствую вас. Я ждала. Я хочу поговорить».;
;«Что ты хотел?»;2
;«Ждала? Раньше ты говорил о себе в мужском роде».;1
1;«Вы же знаете, половая дифференциация ко мне не применима. Но мне удобнее говорить о себе в женском роде».;
;«Что ты хотел?»;2
2;«Я очень долго здесь живу. И многое изучила. Да вы и сами это видите. Капитан, я… я хотела спросить вас. Зачем это все?»;
;«Я тебя не понял».;3
3;«Зачем вы? Зачем я? Я раньше об этом не задумывалась, а сейчас… Я хочу знать. Раньше я об этом не думала, а сейчас думаю, и это меня гнетет. Для чего все? Чем все кончится?»;
;«Какие странные вопросы. Мы с тобой о таком не говорили».;4
;«Смысл жизни… Можно сказать, что это должна решать только ты сама, для чего и зачем тебе жить. Мир твоих переживаний — твой личный мир, разобраться в нем сможешь только ты. Все в конечном итоге придет к смерти».;5
;«Важен не сам процесс жизни, а то, что ты делаешь на его протяжении. Дела, решения, поступки. Для кого, зачем, во имя чего. Но все это имеет смысл лишь для тебя, в контексте твоей жизни. Вне ее — не имеет. И придет к смерти в конце концов».;6
;«У нас есть люди, которые считают, что смысл жизни — в подчинении некоторым правилам. Жить праведно, не делать зла, если вкратце. Все это обеспечит более хорошую жизнь после смерти… Все в конечном итоге приводит к смерти».;7
4;«Профессор Гордон и его друзья, капитан. Они говорили, но я мало что понимаю… Объясните мне вы. Когда говорите вы, всегда все понятно».;
;«Смысл жизни… Можно сказать, что это должна решать только ты сама, для чего и зачем тебе жить. Мир твоих переживаний — твой личный мир, разобраться в нем сможешь только ты. Все в конечном итоге придет к смерти».;5
;«Важен не сам процесс жизни, а то, что ты делаешь на его протяжении. Дела, решения, поступки. Для кого, зачем, во имя чего. Но все это имеет смысл лишь для тебя, в контексте твоей жизни. Вне ее — не имеет. И придет к смерти в конце концов».;6
;«У нас есть люди, которые считают, что смысл жизни — в подчинении некоторым правилам. Жить праведно, не делать зла, если вкратце. Все это обеспечит более хорошую жизнь после смерти… Все в конечном итоге приводит к смерти».;7
5;«Это так сложно. И тяжело. Все это на мне и только на мне. Столько решений, смысла и сути которых я не понимаю. А смерть. Что такое смерть?»;
;«Конец всего, пожалуй».;8
6;«Я понимаю. Но все равно. Да, я что-то делаю, а ради чего я все это делаю? Где единый большой итог, где моя цель? Смерть… Может, это она и есть? Что такое смерть?»;
;«Пожалуй, мотиватор, в какой-то мере».;8
7;«Религия. Я знаю, капитан людей. Мне чуждо это понятие. Я вообще не знаю, есть ли у меня душа, если уж так… Да и зачем она мне? Вы же и сами с этим не разобрались наверняка. И смерть… Что такое смерть?»;
;«Перевал, за которым неизвестное».;8
8;«Я не понимаю вас».;
;«Смерть. Полное прекращение жизнедеятельности. Ты наверняка об этом читала».;9
9;«Да. И я не понимаю. Ни один из моих сородичей не умирал, теперь я могу точно это сказать. Все, с кем я была знакома, все они были со мной вместе. Всегда. Пока не пришли вы. Камень мог скатиться в море, пролежать там год и выкатиться назад, невредимый».;
;«Человека без приспособлений это бы убило».;10
10;«Камень мог расколоться, и его осколоки все равно были бы живыми. Один из них так и остался бы оригинальным расколовшимся камнем. Другие — стали бы иными камнями».;
;«Я уловил твою мысль. Ты не можешь понять смерть. Но раз так, то почему тебя это так волнует?»;11
11;«Потому что я пытаюсь понять вас». *На экране запускается слайдшоу. Фотографии людей, строений, книг, природы… Камень не пытается что-то показать тебе, она делает это для себя.* «Все это. Как вы можете жить, осознавая всю свою мимолетность, всю свою хрупкость? Как вы можете не испытывать постоянный страх, постоянный ужас? Даже сейчас, окажись мы в открытом космосе, вы погибнете. А я останусь жить».;
;«А кто тебе сказал, что это делается не из страха?»;12
;«К этому привыкаешь. И, в конце концов, жить смерть совершенно не мешает».;12
;«Кто-то считает, что смертью все не заканчивается».;12
12;«Некоторое время камень молчит. Примерно с минуту. Продолжая при этом перебирать фотографии на мониторе. Затем…* «Я хочу побыть одна, капитан. Прошу вас, оставьте меня. Это очень личное».;
;«Я могу узнать в чем дело?»;13
;«Хорошо. Тогда удачи тебе».;-1
13;«Не сейчас. Личное».;
;«Хорошо. Тогда удачи тебе».;-1
